Business Name,Address of establishment,Town,Type of cuisine,Average price,Business hours,Average rating,Number of reviews,Date of last rating,Position in the ranking,Minimum Price,Maximum Price,Month,Year Of Rating,Price Range,Rating Label
Restaurante L´Origen,"Calle Andres Mancebo 40, 46023, Valencia Spain", Oceanografic Valencia,"Mediterranean, Spanish",9.91 - 24.78,Tue - Sun : 1:30 PM - 4:00 PM,4.5,163,"November 6, 2018",354,9.91,24.78,November 6, 2018,Cheap,Excellent
ATN Restaurant,"Carrer Canuda 6, 08002 Barcelona Spain",Barrio Gotico (Barri Gotic),"Mediterranean, Catalan, Contemporary",8.87 - 26.59,"Mon : 10:00 AM - 6:00 PM
Tue - Sat : 9:00 AM - 12:00 AM",4.0,241,"August 12, 2021","1,381",8.87,26.59,August 12, 2021,Cheap,Excellent
Boccaccio Restaurante Italiano Valencia,"Plaza Vicente Iborra, 46003, Valencia Spain",El Carme,"Italian, Mediterranean, Steakhouse, Seafood",14.87 - 49.56,"Wed - Sun : 1:30 PM - 4:30 PM,  8:00 PM - 12:00 AM",4.5,77,"November 13, 2021",113,14.87,49.56,November 13, 2021,Average,Excellent
Las Muns Les Corts,"Carrer Europa 26, 08028 Barcelona Spain",Les Corts,"Fast Food, International, Street Food, Argentinean, South American",1.77 - 9.75,"Mon - Thu : 10:30 AM - 11:00 PM
Fri - Sun : 11:00 AM - 11:30 PM",5.0,1 review,"September 24, 2019",402,1.77,9.75,September 24, 2019,Cheap,Excellent
Restaurant La Catedral - Gastroguachinche,"Carretera General del Norte 20, 38380 La Victoria de Acentejo, Tenerife Spain", Orotava Valley,"Spanish, Diner",9.91 - 17.84,"Tue - Sun : 12:30 PM - 4:00 PM
Fri - Sat : 7:00 PM - 11:00 PM",4.5,2,"November 30, 2019",10,9.91,17.84,November 30, 2019,Cheap,Excellent
Pancomido,"Doctor Fleming 25 Junto cines Gran Sarria, 08017 Barcelona Spain",Les Tres Torres,"Mediterranean, Spanish, Seafood, Healthy, Catalan",15.96 - 31.03,Tue - Sun : 12:00 PM - 12:00 AM,4.0,49,"March 23, 2021",243,15.96,31.03,March 23, 2021,Average,Excellent
Stampi Cafè,"Carrer Del Planeta, 41, 08012 Barcelona Spain",Gracia,"Cafe, International",6.94 - 14.87,"Sun : 11:00 AM - 11:00 PM
Tue - Thu : 9:00 AM - 1:30 AM
Fri : 9:00 AM - 3:00 AM
Sat : 11:00 AM - 3:00 AM",5.0,38,"October 4, 2020",195,6.94,14.87,October 4, 2020,Cheap,Excellent
Santa Queena,"Calle Director de Cine Luis Bunuel 1, 46015, Valencia Spain", Bioparc Valencia,"Mediterranean, Spanish",14.87 - 29.73,"Wed - Fri : 1:00 PM - 5:30 PM
Wed - Sat : 8:00 PM - 11:45 PM
Sat - Sun : 12:30 PM - 5:30 PM",5.0,16,"September 4, 2021","1,169",14.87,29.73,September 4, 2021,Average,Excellent
Restaurante Ruen Thai,"Calle Dr. Celestino Cobiella Zaera Hotel Puerto Palace, 38400, Tenerife Spain", Loro Parque,"Asian, Thai",4.96 - 14.87,"Tue - Sun : 12:00 PM - 4:00 PM,  7:00 PM - 11:00 PM",4.0,144,"November 3, 2020",101,4.96,14.87,November 3, 2020,Cheap,Excellent
Aliaa,"Sant Vicente Martir, 46017, Valencia Spain", Plaza del Ayuntamiento,"Lebanese, Moroccan, Turkish, Middle Eastern, Arabic",31.72 - 198.24,"Mon : 5:00 PM - 11:00 PM
Tue - Thu : 11:00 AM - 5:00 PM,  8:00 PM - 11:00 PM
Fri : 5:00 PM - 11:00 PM
Sat - Sun : 11:00 AM - 1:00 PM",4.5,21,"October 31, 2020","1,388",31.72,198.24,October 31, 2020,Average,Excellent
All Day Wok,"Carrer de Santa Fe de Nou Mexic, 4, 08017 Barcelona Spain",Sant Gervasi-Galvany,Asian,4.43 - 10.64,"Fri : 12:00 PM - 9:30 PM
Sat - Thu : 12:00 PM - 11:00 PM",4.5,14,"March 8, 2020",444,4.43,10.64,March 8, 2020,Cheap,Excellent
about salmon,"Carrer de Ramis, 2 Gracia, 08012 Barcelona Spain",Gracia,"Mediterranean, European, Seafood, International, Healthy",3.96 - 20.82,"Tue - Sat : 1:30 PM - 4:00 PM,  8:00 PM - 12:00 AM",5.0,28,"September 22, 2019",154,3.96,20.82,September 22, 2019,Cheap,Excellent
El Pastoret,"Carretera Fuente en Corts 88, 46013, Valencia Spain", Oceanografic Valencia,"Steakhouse, Mediterranean, Barbecue, Spanish",28.75 - 34.69,"Tue - Sun : 1:00 PM - 5:00 PM
Tue - Sat : 8:00 PM - 12:00 AM",4.0,174,"October 18, 2019",626,28.75,34.69,October 18, 2019,Average,Excellent
Amura Lounge Alicante,"Muelle de Poniente s/n, 03001 Alicante Spain",Ensanche Diputacion,Mediterranean,9.91 - 49.56,Mon - Fri : 8:00 AM - 8:00 PM,4.5,2,"July 2, 2019",554,9.91,49.56,July 2, 2019,Cheap,Excellent
El Ocho Y Medio,"Placa Lope de Vega 5, 46001, Valencia Spain",La Seu,"Spanish, Mediterranean, European",17.73 - 39.9,Sun - Sat : 11:00 AM - 1:00 AM,3.5,994,"January 24, 2022",742,17.73,39.9,January 24, 2022,Average,Average
Salt Restaurant,"Passeig Mare Nostrum, 19-21 W Barcelona, 08039 Barcelona Spain",Port Vell (Old Port),Bar,9.91 - 15.86,"Mon - Fri : 9:00 AM - 11:00 AM
Wed - Sun : 1:00 PM - 11:00 PM
Sat - Sun : 9:00 AM - 11:30 AM",4.0,396,"October 24, 2021","1,565",9.91,15.86,October 24, 2021,Cheap,Excellent
Tiago La Pizza,"Carrer de Valencia 156-158, 08011 Barcelona Spain",Eixample,"Pizza, Italian, European",6.94 - 24.78,"Sun - Sat : 12:00 PM - 3:45 PM,  7:00 PM - 11:15 PM",4.5,40,"May 10, 2021",386,6.94,24.78,May 10, 2021,Cheap,Excellent
Ilnamiki,"Carrer del Comte d'Urgell, 22, 08011 Barcelona Spain",Eixample,"Gastropub, Mexican, Latin, Spanish, South American, Central American",0.04 - 0.09,"Sun - Thu : 1:00 PM - 12:00 AM
Fri - Sat : 1:00 PM - 2:00 AM",4.5,19,"July 15, 2020","3,062",0.04,0.09,July 15, 2020,Cheap,Excellent
Can Loes,"Calle Floridablanca, 93 Calle Floridablanca / Calle Comte de Borrell, 08015 Barcelona Spain",Eixample,"Mediterranean, Spanish",11.89 - 14.87,"Tue - Wed : 8:30 AM - 6:00 PM
Thu : 8:30 AM - 10:00 PM
Fri : 8:30 AM - 11:30 PM
Sat - Sun : 9:00 AM - 11:30 PM",4.5,41,"October 20, 2017","1,886",11.89,14.87,October 20, 2017,Average,Excellent
Mon Plaisir BCN,"Calle enrique granados 72 Local 2, 08008 Barcelona Spain",Eixample,"Cafe, International, Deli, Fusion, Wine Bar",8.92 - 34.69,Sun - Sat : 7:30 AM - 1:00 AM,4.5,42,"October 21, 2018",277,8.92,34.69,October 21, 2018,Cheap,Excellent
La Conservera Santaló,"Carrer de Santaló 30, 08021 Barcelona Spain",Sant Gervasi-Galvany,Mediterranean,4.43 - 17.73,"Sun : 12:00 PM - 3:00 PM
Tue - Thu : 12:00 PM - 10:00 PM
Fri - Sat : 12:00 PM - 12:00 AM",5.0,14,"July 5, 2021","1,887",4.43,17.73,July 5, 2021,Cheap,Excellent
Lamburguesa (Aragón),"Calle de Vicente Sancho Tello 2, 46021, Valencia Spain",Mestalla,"American, Barbecue",9.91 - 19.82,"Sun - Sat : 1:00 PM - 4:00 PM
Thu - Fri : 8:15 PM - 12:30 AM
Sat - Wed : 8:15 PM - 12:00 AM",4.5,118,"June 26, 2021",16,9.91,19.82,June 26, 2021,Cheap,Excellent
Kibo Restaurante Valencia,"Calle Antonio Suarez 15 Bajo Derecha, 46021, Valencia Spain",Mestalla,"Japanese, Mediterranean, Contemporary, Fusion, Japanese Fusion, Healthy",14.87 - 44.6,"Tue - Sat : 3:00 PM - 5:00 PM,  10:00 PM - 12:00 AM",5.0,34,"September 18, 2021",19,14.87,44.6,September 18, 2021,Average,Excellent
Have Bean Cafe,"Calle Vitoria 4, 46002, Valencia Spain",Sant Francesc,"Mediterranean, Fusion, Cafe",3.96 - 9.91,Tue - Sun : 9:00 AM - 10:00 PM,4.5,38,"August 7, 2021",24,3.96,9.91,August 7, 2021,Cheap,Excellent
Celler Florida,"Floridablanca, 112, 08015 Barcelona Spain",Eixample,Wine Bar,2.98 - 19.82,"Sun : 11:00 AM - 3:30 PM
Tue - Sat : 10:00 AM - 2:30 PM,  5:30 PM - 9:30 PM",4.5,20,"July 17, 2021",89,2.98,19.82,July 17, 2021,Cheap,Excellent
B-Bar,"Gran Via de les Corts Catalanes, 391, Barcelona Spain",Eixample,"Spanish, Mediterranean",4.96 - 19.82,Sun - Sat : 12:00 PM - 11:00 PM,4.0,26,"May 23, 2017","2,623",4.96,19.82,May 23, 2017,Cheap,Excellent
LOS DOS Restaurante,"Carrer de Padilla, 5, 46001, Valencia Spain",Sant Francesc,"Spanish, Steakhouse, Mediterranean",13.3 - 35.46,"Sun : 12:00 PM - 5:00 PM
Mon : 9:30 AM - 5:00 PM
Wed - Thu : 9:30 AM - 5:00 PM
Fri - Sat : 8:00 AM - 5:00 PM",4.5,27,"January 16, 2022",28,13.3,35.46,January 16, 2022,Average,Excellent
La Cova del Nou Mediterrani,"Ronda Sant Pere 42, 08010 Barcelona Spain",Eixample,"Mediterranean, Spanish",11.89 - 58.48,"Tue - Sat : 1:00 PM - 4:00 PM
Thu - Sat : 8:00 PM - 12:00 AM",4.0,106,"November 27, 2019","1,196",11.89,58.48,November 27, 2019,Average,Excellent
Amélie Experience,"El Corte Inglés, Plaça de Catalunya, 14 Planta -1, 08002 Barcelona Spain",Eixample,"European, Seafood, Mediterranean",2.98 - 24.78,Mon - Sat : 10:00 AM - 9:30 PM,4.5,38,"May 29, 2018",163,2.98,24.78,May 29, 2018,Cheap,Excellent
La Paz,"Paseo Neptuno 68, 46011, Valencia Spain",El Cabanyal-El Canyamelar,"Seafood, Mediterranean, European, Spanish, Healthy",14.87 - 34.69,Wed - Mon : 1:00 PM - 4:45 PM,4.5,1357,"December 5, 2021",11,14.87,34.69,December 5, 2021,Average,Excellent
Moka Restaurant,"Ramblas 126, 08002 Barcelona Spain",El Congres i els Indians,"Mediterranean, Spanish, Catalan",11.89 - 24.78,Sun - Sat : 9:00 AM - 12:00 AM,3.5,777,"November 22, 2021","2,267",11.89,24.78,November 22, 2021,Average,Average
La Cigale Barcelona,"50 Carrer Tordera, 08012 Barcelona Spain",Gracia,"Bar, Pub, Gastropub",9.91 - 24.78,"Sun : 6:00 PM - 2:00 AM
Tue - Thu : 6:00 PM - 2:00 AM
Fri - Sat : 6:00 PM - 3:00 AM",4.5,83,"November 3, 2019",259,9.91,24.78,November 3, 2019,Cheap,Excellent
Palo Verde,"Còrsega 232, 08036 Barcelona Spain",Eixample,"Mediterranean, International, Contemporary, Fusion",21.8 - 42.62,"Tue - Sat : 1:30 PM - 3:30 PM,  8:30 PM - 11:00 PM",4.5,21,"January 9, 2022",201,21.8,42.62,January 9, 2022,Average,Excellent
Adil Tandoori Restaurant (Halal),"Carrer de l'Est, 9, 08001 Barcelona Spain",El Raval,"Pakistani, Indian, Asian",4.96 - 17.84,Sun - Sat : 10:00 AM - 12:00 AM,4.0,77,"March 13, 2020",45,4.96,17.84,March 13, 2020,Cheap,Excellent
Piu Restaurants,"Gran Via de Les Corts Catalanes, 633 Catalanes, 08010 Barcelona Spain",Eixample,"Italian, Pizza, Mediterranean, European",9.91 - 29.73,Sun - Sat : 1:00 PM - 11:00 PM,3.5,589,"October 11, 2019","2,028",9.91,29.73,October 11, 2019,Cheap,Average
La Dorotea,"Baixada de Sant Miquel, 4, 08002 Barcelona Spain",Barrio Gotico (Barri Gotic),"Mediterranean, European, Spanish, Pub, Bar",4.43 - 8.87,Sun - Sat : 11:00 AM - 12:00 AM,4.5,49,"July 3, 2020","2,054",4.43,8.87,July 3, 2020,Cheap,Excellent
Pizzeria La Rucola,"Paseo Rio Guadiana, 38400, Tenerife Spain", Loro Parque,"Italian, Pizza, Deli, Healthy",3.96 - 9.91,"Sun : 12:30 PM - 11:00 PM
Fri - Sat : 6:00 PM - 12:00 AM",4.5,61,"May 30, 2021",9,3.96,9.91,May 30, 2021,Cheap,Excellent
La Coronela,"Avenida Colon Bajo, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Cafe, Bar, International, European, Spanish, Pub",7.93 - 24.78,"Mon : 9:30 AM - 8:30 PM
Tue - Sun : 10:00 AM - 9:30 PM",3.5,149,"October 1, 2021",5,7.93,24.78,October 1, 2021,Cheap,Average
VIPS Smart Siam Mall,"Avenida Siam 3, 38660, Adeje, Tenerife Spain", Los Cristianos Harbour,"Fast Food, International",7.93 - 14.87,Sun - Sat : 12:00 PM - 9:30 PM,3.5,118,"August 22, 2021",1,7.93,14.87,August 22, 2021,Cheap,Average
La Gnocca del Pirata,"Calle Verger 1, 46003, Valencia Spain",Sant Francesc,"Italian, European",7.93 - 34.69,"Mon : 9:00 AM - 11:00 PM
Wed - Sun : 7:00 PM - 11:00 PM",4.5,127,"July 26, 2019",101,7.93,34.69,July 26, 2019,Cheap,Excellent
Pico Fino,"Plaza Reina 18, 46003, Valencia Spain",La Seu,"Bar, Mediterranean, European, Spanish",13.3 - 39.9,Sun - Sat : 11:00 AM - 11:00 PM,4.0,509,"August 21, 2020",54,13.3,39.9,August 21, 2020,Average,Excellent
Las Muns Francesc Macià,"Calle Casanova, 189 Esquina calle Londres, 08036 Barcelona Spain",Eixample,"International, Street Food, South American",1.77 - 8.87,Sun - Sat : 12:00 PM - 11:00 PM,4.5,20,"July 13, 2019",232,1.77,8.87,July 13, 2019,Cheap,Excellent
Zafra Restaurant,"C. de Girona 84 84 Girona Street, 08009 Barcelona Spain",Eixample,"Mediterranean, Bar, European",14.87 - 24.78,"Mon - Wed : 7:00 AM - 5:00 PM
Thu - Fri : 7:00 AM - 12:00 AM
Sat : 12:00 PM - 12:00 AM",4.0,185,"July 8, 2019",250,14.87,24.78,July 8, 2019,Average,Excellent
"La Tagliatella Plaça Catalunya, Barcelona","Ronda de la Universitat, 31, 08007 Barcelona Spain",Eixample,Italian,14.19 - 15.96,"Sun - Sat : 1:00 PM - 4:30 PM,  8:00 PM - 12:00 AM",3.5,259,"February 25, 2020",286,14.19,15.96,February 25, 2020,Average,Average
Palmera Coffee Brunch,"Calle Los Sabandenos9, 38650 Los Cristianos, Arona, Tenerife Spain", Los Cristianos Harbour,"Bar, Spanish, Pub",4.43 - 8.87,Thu - Tue : 8:00 AM - 5:30 PM,5.0,5,"January 21, 2022",10,4.43,8.87,January 21, 2022,Cheap,Excellent
Restaurante Ferran,"C/ Ferran 24-26, 08002 Barcelona Spain",Barrio Gotico (Barri Gotic),"Steakhouse, Catalan",29.73 - 44.6,Sun - Sat : 9:00 AM - 11:30 PM,3.5,553,"November 25, 2021",67,29.73,44.6,November 25, 2021,Average,Average
Valmas Barcelona,"Carrer de Mallorca 235 Between Passatge de Mercader and Carrer de Balmes, 08008 Barcelona Spain",Eixample,"Mediterranean, Healthy, Spanish, Fusion",16.85 - 188.33,Tue - Sat : 7:00 PM - 11:00 PM,4.0,68,"December 5, 2019","1,601",16.85,188.33,December 5, 2019,Average,Excellent
Fucsia restaurant,"Laforja 134, 08021 Barcelona Spain",Sant Gervasi-Galvany,"Mediterranean, European",12.88 - 36.67,"Sun : 1:00 PM - 5:00 PM
Mon - Sat : 1:00 PM - 4:00 PM,  9:00 PM - 11:00 PM",3.5,215,"January 28, 2020","2,065",12.88,36.67,January 28, 2020,Average,Average
Il Capriccio,"Sant Antoni Maria Claret, 125 Entre C/ Padilla y C/ Lepanto, 08025 Barcelona Spain",El Baix Guinardo,"Italian, Pizza, European",8.87 - 13.3,"Wed - Mon : 7:30 PM - 11:45 PM
Sat - Sun : 12:30 PM - 4:00 PM",4.5,161,"September 24, 2018",89,8.87,13.3,September 24, 2018,Cheap,Excellent
Restaurante Pico de Gallo,"Carrer de Mallorca #125, 08036 Barcelona Spain",Eixample,"Mexican, Healthy, Street Food, Latin, Cafe",7.93 - 39.65,"Sun : 12:30 AM - 4:30 PM
Tue - Sat : 8:00 PM - 12:00 AM
Sat : 12:30 PM - 4:30 PM",4.0,36,"September 2, 2019",102,7.93,39.65,September 2, 2019,Cheap,Excellent
Terminal 42,"Carrer de Lleida, 5, 08004 Barcelona Spain",Sants-Montjuic,"International, Fusion",14.87 - 26.76,Wed - Sat : 1:00 PM - 11:00 PM,4.0,12,"October 7, 2021",284,14.87,26.76,October 7, 2021,Average,Excellent
La Bona Pizza,"Galileo 326, 08028 Barcelona Spain",Les Corts,"Pizza, Italian, Fast Food",3.96 - 5.95,"Sun - Sat : 1:00 PM - 4:00 PM,  7:00 PM - 12:00 AM",3.0,14,"November 19, 2021",742,3.96,5.95,November 19, 2021,Cheap,Average
Cerveceria El merengue,"Avenida de Alfonso El Sabio 44, 03004 Alicante Spain",Mercado,"Spanish, Mediterranean, European",8.92 - 14.87,"Sun : 9:00 AM - 11:30 PM
Mon - Sat : 8:00 AM - 11:00 PM",2.5,49,"February 26, 2020",607,8.92,14.87,February 26, 2020,Cheap,Poor
Green Bamboo,"Carrer de Sant Domenec del Call, 10, 08002 Barcelona Spain",Barrio Gotico (Barri Gotic),"Asian, Fusion",6.94 - 19.82,Tue - Sun : 6:00 PM - 11:45 PM,4.5,89,"November 17, 2018",210,6.94,19.82,November 17, 2018,Cheap,Excellent
IL Giardinetto,"La Granada Del Penedes, 28 Entre la calles Balmes y Tuset, 08006 Barcelona Spain",Sant Gervasi-Galvany,"Mediterranean, Italian, European",0.15 - 0.21,"Mon - Wed : 8:00 PM - 11:00 PM
Mon - Fri : 1:00 PM - 5:00 PM
Thu - Sat : 8:00 PM - 11:45 PM",4.0,106,"April 21, 2017","2,775",0.15,0.21,April 21, 2017,Cheap,Excellent
Can Vilamari,"Carrer de Provenca, 32 Esquina, 08029 Barcelona Spain",Eixample,"Steakhouse, Mediterranean, Argentinean, South American, Catalan",8.87 - 44.33,"Mon - Sat : 12:30 PM - 5:00 PM
Wed : 8:00 PM - 11:30 PM
Thu : 8:00 PM - 12:00 AM
Fri - Sat : 8:00 PM - 1:00 AM",4.5,6,"September 26, 2020",103,8.87,44.33,September 26, 2020,Cheap,Excellent
Tasca El Rallador,"Carretera General Palo Blanco 15, 38413 Los Realejos, Tenerife Spain", Loro Parque,Spanish,4.96 - 14.87,"Mon : 12:00 PM - 4:30 PM,  7:30 PM - 10:30 PM
Wed - Thu : 7:30 PM - 10:30 PM
Wed - Fri : 12:00 PM - 4:30 PM
Fri - Sat : 7:30 PM - 11:00 PM
Sat - Sun : 12:00 PM - 5:00 PM",4.5,104,"January 7, 2022",2,4.96,14.87,January 7, 2022,Cheap,Excellent
Mar Beach Restaurant & Bar,"Plaza del Mar Nº 1, 08003 Barcelona Spain",Barceloneta,"Mediterranean, Spanish",19.82 - 39.65,Sun - Sat : 8:00 AM - 11:00 PM,4.5,171,"January 18, 2022","1,032",19.82,39.65,January 18, 2022,Average,Excellent
M Restaurante Japonés,"Carrer Gran De Gràcia 180, 08012 Barcelona Spain",Gracia,"Japanese, Sushi",2.98 - 19.82,"Sun : 12:30 PM - 11:30 PM
Mon - Tue : 12:30 PM - 4:00 PM,  7:00 PM - 11:30 PM
Thu : 12:30 PM - 4:00 PM,  7:00 PM - 11:30 PM
Fri : 12:30 PM - 11:30 PM
Sat : 12:30 PM - 12:00 AM",5.0,18,"July 31, 2021",149,2.98,19.82,July 31, 2021,Cheap,Excellent
Espai Quera: Llibres i Platillos,"C/Petritxol,2, 08002 Barcelona Spain",Barrio Gotico (Barri Gotic),"Mediterranean, Spanish, Catalan",14.87 - 34.69,"Tue : 11:00 AM - 7:00 PM
Wed - Sat : 11:00 AM - 11:00 PM",5.0,22,"December 20, 2021","2,243",14.87,34.69,December 20, 2021,Average,Excellent
Restaurante & tapas El Sella,"Calle Pureza 4 Triana Comida para llevar, 41010 Seville Spain", Real Maestranza de Caballeria de Sevilla,"Mediterranean, Spanish, Healthy",2.98 - 24.78,"Sun - Sat : 1:00 PM - 5:00 PM
Mon - Sat : 8:30 PM - 11:30 PM",5.0,1151,"January 20, 2022",10,2.98,24.78,January 20, 2022,Cheap,Excellent
La Salá,"Calle José Velázquez Sánchez, Local 9, 41011 Seville Spain", Parque de Maria Luisa,"Peruvian, Latin, Sushi",4.96 - 13.88,Wed - Sun : 1:00 PM - 4:30 PM,4.5,254,"October 3, 2021",48,4.96,13.88,October 3, 2021,Cheap,Excellent
Bar Triana,"Calle de Castilla 73, 41010 Seville Spain",Casco Antiguo,"Bar, Mediterranean, European, Spanish, Fusion",9.91 - 19.82,"Tue - Sun : 1:00 PM - 4:00 PM
Tue - Sat : 8:00 PM - 12:00 AM",4.5,950,"December 17, 2021",25,9.91,19.82,December 17, 2021,Cheap,Excellent
Arabesca Restaurant,"Calle de San Fernando 23, 41004 Seville Spain", Catedral de Sevilla,"Lebanese, Moroccan, Healthy, Middle Eastern, Arabic",14.87 - 29.73,"Sun - Thu : 12:00 PM - 11:30 PM
Fri - Sat : 12:00 PM - 12:00 AM",5.0,986,"January 23, 2022",9,14.87,29.73,January 23, 2022,Average,Excellent
Sibuya Urban Sushi Bar Sevilla,"Calle Albareda 10, 41001 Seville Spain", Catedral de Sevilla,"Japanese, Sushi, Asian, Healthy",3.96 - 19.82,"Sun - Thu : 1:00 PM - 4:00 PM,  8:00 PM - 11:15 PM
Fri - Sat : 1:00 PM - 12:00 AM",5.0,2067,"January 25, 2022",4,3.96,19.82,January 25, 2022,Cheap,Excellent
Vega 10,"Calle Rosario Vega 10, 41010 Seville Spain", Real Maestranza de Caballeria de Sevilla,"Spanish, Mediterranean, European, Healthy, Fusion",8.92 - 29.73,"Tue - Sat : 1:00 PM - 4:00 PM,  8:30 PM - 11:45 PM",4.5,900,"November 10, 2021",55,8.92,29.73,November 10, 2021,Cheap,Excellent
Islamorada Tapas Bar,"Calle de Francisco Lopez Borda 24B, 41001 Seville Spain", Catedral de Sevilla,"Spanish, Fusion",14.87 - 34.69,"Tue - Sun : 2:15 PM - 5:15 PM
Tue - Sat : 9:15 PM - 12:00 AM",5.0,487,"January 27, 2022",15,14.87,34.69,January 27, 2022,Average,Excellent
"We Love Italy, Pasta & Pizza, Sevilla","Calle de Tomas de Ibarra n. 6 a 50 Metros De La Catedral, 41001 Seville Spain", Catedral de Sevilla,"Italian, Pizza, Mediterranean, Cafe, Healthy, Romana, Lazio, Sicilian, Central-Italian, Southern-Italian",4.96 - 10.9,Sun - Sat : 12:00 PM - 11:45 PM,5.0,266,"January 23, 2022",18,4.96,10.9,January 23, 2022,Cheap,Excellent
Burro Canaglia Bar&Resto - Centro,"Calle de San Pablo 31, 41001 Seville Spain", Real Maestranza de Caballeria de Sevilla,"Italian, Mediterranean, European",4.96 - 19.82,"Sun - Sat : 1:00 PM - 5:30 PM,  8:00 PM - 12:00 AM",4.5,1501,"January 26, 2022",19,4.96,19.82,January 26, 2022,Cheap,Excellent
Donaire Azabache - Archivos de Indias,"Calle Santo Tomas 11 Junto archivo de Indias y el Alcazar, 41004 Seville Spain", Catedral de Sevilla,"European, Mediterranean, Spanish",1.98 - 29.73,"Sun : 9:00 AM - 5:00 PM
Mon - Fri : 8:00 AM - 12:00 AM
Sat : 9:00 AM - 12:00 AM",4.5,1209,"November 5, 2021",30,1.98,29.73,November 5, 2021,Cheap,Excellent
Zumfit,"Calle Corales 4, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Cafe, American, Pizza, Fast Food, Pub, Gastropub",2.66 - 7.98,"Sun : 9:00 AM - 5:00 PM
Mon - Thu : 10:00 AM - 10:00 PM
Fri : 9:00 AM - 10:00 PM
Sat : 10:00 AM - 5:00 PM",4.5,11,"July 25, 2019",9,2.66,7.98,July 25, 2019,Cheap,Excellent
Bakery & Coffee,"Calle Puerto Viejo 29, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Cafe, International",1.98 - 4.96,Sun - Sat : 8:00 AM - 9:00 PM,4.5,19,"August 7, 2019",9,1.98,4.96,August 7, 2019,Cheap,Excellent
Restaurante Gran Galicia,"Bejar 97, 08014 Barcelona Spain",Sants-Montjuic,"Mediterranean, European, Spanish",11.53 - 46.1,Mon - Sat : 6:00 AM - 12:00 AM,3.5,51,"November 9, 2016","3,105",11.53,46.1,November 9, 2016,Average,Average
Milano Bar & Trattoria,"Rossello 197, 08035 Barcelona Spain",Eixample,"European, Italian",7.93 - 17.84,"Mon : 12:00 PM - 4:00 PM
Wed : 7:30 PM - 1:00 AM
Fri : 12:00 PM - 4:00 PM,  7:30 PM - 1:00 AM
Sat : 5:00 PM - 1:00 AM",4.0,68,"December 3, 2019",343,7.93,17.84,December 3, 2019,Cheap,Excellent
Restaurante Las Chozas,"Calle el Jardin 76, 38419 Los Realejos, Tenerife Spain", Loro Parque,"Mediterranean, Spanish, Contemporary",0.07 - 0.12,"Sun : 1:00 PM - 4:00 PM
Wed - Sat : 7:00 PM - 10:00 PM
Thu - Fri : 1:30 PM - 4:00 PM
Sat : 1:00 PM - 4:30 PM",4.5,67,"December 22, 2019",6,0.07,0.12,December 22, 2019,Cheap,Excellent
Enlagloria Salad House,"Calle Avenir 66 local 05, 08021 Barcelona Spain",Sant Gervasi-Galvany,"Healthy, Fast Food, Mediterranean",6.94 - 14.87,Mon - Fri : 12:00 PM - 4:30 PM,4.5,15,"June 18, 2021",194,6.94,14.87,June 18, 2021,Cheap,Excellent
Meating,"c/ Amigo, 68, 08021 Barcelona Spain",Sant Gervasi-Galvany,"Mediterranean, Spanish",14.87 - 29.73,Mon - Sat : 8:30 AM - 12:30 AM,4.0,55,"August 31, 2018","2,058",14.87,29.73,August 31, 2018,Average,Excellent
Sushi Taller Restaurante,"Carrer de Bigai 4 Plaza de la bonanova, 08022 Barcelona Spain",Sant Gervasi-La Bonanova,"Japanese, Sushi, Asian",14.87 - 39.65,"Sun - Sat : 12:00 PM - 4:00 PM
Tue - Sun : 8:00 PM - 12:00 AM",4.0,33,"August 27, 2018",204,14.87,39.65,August 27, 2018,Average,Excellent
Dias Denorte,"Ronda de Sant Pau, 5, 08015 Barcelona Spain",El Raval,"Mediterranean, Spanish",15.96 - 21.27,Sun - Sat : 11:00 AM - 11:45 PM,4.5,75,"July 31, 2016","1,741",15.96,21.27,July 31, 2016,Average,Excellent
Decuchareo28,"Calle de Pedro del Toro 12 Behind Plaza del Museo, entering through Marqués de Paradas. Parking in Mercadona., 41001 Seville Spain", Real Maestranza de Caballeria de Sevilla,"Seafood, Contemporary, Mediterranean, Healthy",14.87 - 39.65,Tue - Sun : 1:30 PM - 4:00 PM,5.0,218,"February 5, 2020",31,14.87,39.65,February 5, 2020,Average,Excellent
Betis 7 Triana Experience,"Calle Betis 7, 41010 Seville Spain", Real Maestranza de Caballeria de Sevilla,"Mediterranean, European, Spanish",14.87 - 29.73,"Mon - Wed : 1:00 PM - 5:00 PM,  8:00 PM - 12:00 AM
Thu - Sun : 1:00 PM - 12:00 AM",4.5,776,"October 25, 2021",72,14.87,29.73,October 25, 2021,Average,Excellent
Donaire Azabache (Polavieja),"Calle General Polavieja 6 Entre c/ Sierpes y Tetuán, junto plaza San Francisco., 41004 Seville Spain", Catedral de Sevilla,"Mediterranean, Spanish, Healthy",1.77 - 17.73,"Sun : 12:00 PM - 5:00 PM
Mon - Fri : 8:00 AM - 12:00 AM
Sat : 9:00 AM - 12:00 AM",5.0,768,"January 27, 2022",20,1.77,17.73,January 27, 2022,Cheap,Excellent
